state_code_year;temperature_mean;drought_mean;precipitation_mean;climat
CT-2003;50,59;0,82;4,68;continental humide ete sec
CT-2004;51,49;-0,07;4,05;continental humide ete sec
CT-2005;51,8;0,41;4,56;continental humide ete sec
CT-2006;52,72;2,8;4,75;continental humide ete sec
CT-2007;51,19;-0,26;3,8;continental humide ete sec
CT-2008;51,52;1,92;4,96;continental humide ete sec
CT-2009;51,37;0,8;4,21;continental humide ete sec
CT-2010;53,56;-0,29;4,05;continental humide ete sec
CT-2011;53,37;1,3;5,31;continental humide ete sec
CT-2012;54,35;-1,89;3,28;continental humide ete sec
CT-2013;51,69;-0,94;3,62;continental humide ete sec
CT-2014;50,95;-1,14;3,75;continental humide ete sec
CT-2015;52,25;-2,28;3,09;continental humide ete sec
DE-1992;55,54;-0,52;3,38;subtropical
DE-1993;56,37;0,1;3,7;subtropical
DE-1994;57,47;-0,05;3,94;subtropical
DE-1995;56,64;-1,51;3,2;subtropical
DE-1996;55,97;2,53;4,83;subtropical
DE-1997;56,72;-0,39;3,43;subtropical
DE-1998;58,85;-0,63;3,46;subtropical
DE-1999;58,18;-1,28;3,8;subtropical
DE-2000;56,69;0,99;3,85;subtropical
DE-2001;58,18;-0,57;3,27;subtropical
DE-2002;58,72;-1,5;3,87;subtropical
DE-2003;56,85;3,59;4,82;subtropical
DE-2004;58,28;2,4;3,73;subtropical
DE-2005;57,67;1,04;3,91;subtropical
DE-2006;58,71;0,51;3,9;subtropical
DE-2007;57,76;-1,58;3,2;subtropical
DE-2008;58,09;-2,26;3,55;subtropical
DE-2009;57,67;1,21;4,66;subtropical
DE-2010;58,79;-0,56;3,38;subtropical
DE-2011;59,89;-2,16;3,71;subtropical
DE-2012;60,22;-1,69;3,28;subtropical
DE-2013;57,5;1,16;4,23;subtropical
DE-2014;56,96;0,51;3,75;subtropical
DE-2015;58,63;-0,18;3,86;subtropical
FL-1992;71,54;0,33;4,68;subtropical
FL-1993;70,92;-0,45;4,16;subtropical
FL-1994;72,89;0,99;5,4;subtropical
FL-1995;72,08;2,15;4,93;subtropical
