LATITUDE;LONGITUDE;STATES
475951;-1221535;WA
390346;-956955;KS
409147;-741624;NJ
30201;-932111;LA
338346;-1183416;CA
399197;-1049438;CO
323184;-953062;TX
339508;-833689;GA
300849;-941451;TX
382701;-1046114;CO
318801;-1023448;TX
327602;-965865;TX
382583;-1220335;CA
341597;-118139;CA
383484;-816322;WV
338841;-1179279;CA
259773;-803351;FL
320243;-1021147;TX
342902;-838294;GA
338038;-1178218;CA
388833;-94.82;KS
349333;-1204431;CA
336815;-1124515;AZ
387703;-1213196;CA
299977;-90178;LA
325995;-1145491;AZ
32989;-968999;TX
36076;-794685;NC
406886;-1120123;UT
370551;-76363;VA
427274;-878135;WI
404152;-1047706;CO
261916;-976977;TX
184054;-659792;PR
424934;-83027;MI
390877;-1085673;CO
262702;-802591;FL
389472;-923268;MO
404757;-889703;IL
425809;-830305;MI
411039;-735585;CT
473887;-1222128;WA
487548;-122469;WA
323265;-1067893;NM
355943;-77376;NC
30527;-976642;TX
406658;-741913;NJ
424614;-836526;MI
342663;-118749;CA
373646;-121968;CA
465923;-1205496;WA
363406;-823806;TN
39161;-755202;DE
295581;-953218;TX
374003;-791909;VA
353495;-943695;AR
391357;-1216383;CA
26612;-816388;FL
425865;-878773;WI
184491;-667387;PR
378722;-122276;CA
400248;-1052524;CO
294154;-949682;TX
416559;-915303;IA
386085;-769194;MD
340326;-1181691;CA
405698;-122365;CA
39832;-105151;CO
289034;-819887;FL
434199;-839501;MI
180127;-666212;PR
329716;-967093;TX
295935;-956358;TX
425209;-717717;MA
45534;-941718;MN
467756;-921393;MN
423759;-711185;MA
325185;-920774;LA
390871;-943501;MO
440154;-92478;MN
349415;-810241;SC
391637;-865257;IN
457891;-1085526;MT
366224;-1218199;CA
27979;-827623;FL
279367;-82.3;FL
444876;-732316;VT
402508;-756445;PA
424918;-923522;IA
406024;-1120008;UT
47704;-1167936;ID
398837;-1050624;CO
370758;-1135752;UT
370046;-1215854;CA
331246;-1172834;CA
340739;-1180291;CA
329067;-800722;SC
397578;-1218161;CA
334928;-1171315;CA
336667;-1179135;CA
430962;-752261;NY
368278;-119683;CA
352335;-973471;OK
420383;-88324;IL
395926;-1048673;CO
426389;-713217;MA
339379;-1181311;CA
262428;-801312;FL
267469;-80132;FL
324543;-997384;TX
479525;-1221669;WA
259433;-802426;FL
455021;-1224413;OR
327865;-1155595;CA
379477;-1223389;CA
339566;-1183444;CA
383756;-755865;MD
36038;-957806;OK
342741;-1192314;CA
339366;-843703;GA
455273;-122936;OR
424959;-963901;IA
347289;-773941;NC
436116;-1163977;ID
330454;-969815;TX
440563;-1213095;OR
376862;-1224685;CA
395419;-1049708;CO
34001;-1174706;CA
311068;-973891;TX
417399;-1118422;UT
21392;-1577396;HI
340555;-1179113;CA
260789;-80287;FL
392004;-76859;MD
294874;-951087;TX
303751;-900904;LA
331786;-1115629;AZ
375053;-1208588;CA
339069;-1180829;CA
331088;-966735;TX
180827;-67046;PR
375522;-1223121;CA
341175;-1173892;CA
341879;-1183235;CA
328017;-1169604;CA
448197;-914948;WI
395736;-1197161;NV
380375;-784855;VA
474784;-1221918;WA
434871;-1120362;ID
331896;-1172386;CA
427677;-860984;MI
401686;-1051005;CO
339072;-985291;TX
399946;-1050998;CO
383587;-1219673;CA
476626;-1172346;WA
438241;-912268;WI
39965;-86146;IN
263752;-80108;FL
325193;-947622;TX
365224;-825454;TN
336273;-84.58;GA
454779;-1228168;OR
352873;-1066982;NM
34598;-1123185;AZ
402981;-1116994;UT
263196;-981597;TX
314424;-1004504;TX
43058;-707826;NH
377269;-1214523;CA
473091;-1223358;WA
389597;-952642;KS
377927;-1212264;CA
33135;-1171743;CA
405709;-1118506;UT
278227;-823023;FL
33893;-1182274;CA
420821;-710242;MA
356619;-1059819;NM
363274;-1196549;CA
395033;-843659;OH
343975;-1173147;CA
368468;-76354;VA
339447;-1181926;CA
340391;-843513;GA
261547;-802997;FL
369716;-864378;KY
389171;-943816;MO
302887;-897828;LA
37.23;-804279;VA
422506;-710187;MA
261259;-802617;FL
423127;-83213;MI
424781;-709664;MA
423972;-833733;MI
468751;-1140214;MT
386017;-1213845;CA
399588;-859659;IN
182003;-671397;PR
39466;-873751;IN
356689;-97416;OK
336909;-1171849;CA
394653;-749981;NJ
340235;-118481;CA
28528;-811868;FL
366953;-766398;VA
338374;-1182559;CA
47697;-1222057;WA
337523;-1179938;CA
377074;-1221599;CA
346175;-984202;OK
468143;-1007694;ND
431887;-708845;NH
280106;-825763;FL
417136;-711015;MA
440716;-1032204;SD
391755;-772643;MD
258171;-801396;FL
328537;-798203;SC
315776;-841762;GA
339836;-1176654;CA
411144;-734215;CT
34178;-797898;SC
407909;-778567;PA
376868;-1217607;CA
303238;-954824;TX
423316;-712085;MA
38785;-907175;MO
34769;-84972;GA
386948;-121288;CA
422431;-844038;MI
423698;-878716;IL
401989;-85395;IN
336151;-1178668;CA
398557;-889342;IL
288119;-825392;FL
429821;-824388;MI
400891;-856892;IN
30665;-963807;TX
339147;-1183476;CA
333763;-868068;AL
382975;-122301;CA
448306;-933151;MN
40863;-741575;NJ
39.93;-837959;OH
313074;-89317;MS
339678;-1180188;CA
279088;-827712;FL
336605;-1176714;CA
296994;-981148;TX
340333;-842027;GA
375025;-1222253;CA
34084;-1181355;CA
425817;-831457;MI
262039;-983256;TX
389037;-90152;IL
332614;-1123622;AZ
266194;-818302;FL
372693;-767076;VA
339508;-1177254;CA
281086;-806627;FL
338572;-1180046;CA
41102;-878643;IL
299777;-951953;TX
404166;-1050623;CO
423192;-833805;MI
418445;-877593;IL
285818;-814692;FL
377624;-1219365;CA
417658;-714858;RI
423908;-711014;MA
390028;-770207;MD
417062;-714334;RI
370757;-945018;MO
42486;-833771;MI
473039;-1222108;WA
26305;-801277;FL
337311;-1178107;CA
35.92;-868516;TN
345211;-826478;SC
403412;-764228;PA
361901;-941574;AR
180344;-668615;PR
36963;-1200778;CA
451112;-933505;MN
374001;-1220796;CA
427002;-711626;MA
376663;-1218805;CA
377668;-122267;CA
282409;-821797;FL
338471;-1181222;CA
351872;-1116194;AZ
348303;-876655;AL
386668;-1211422;CA
409304;-737836;NY
397598;-94821;MO
33.45;-940847;TX
450225;-934617;MN
330343;-971146;TX
308502;-832788;GA
261685;-981904;TX
413843;-817286;OH
400706;-82425;OH
377031;-858773;KY
385553;-121737;CA
298976;-81.31;FL
265281;-800811;FL
337898;-1172233;CA
336712;-858135;AL
339392;-80393;SC
341178;-1176604;CA
41077;-111962;UT
256697;-803556;FL
396383;-799464;WV
305105;-978197;TX
326087;-854903;AL
34223;-1190321;CA
41135;-1047902;WY
33888;-1181271;CA
369206;-1217708;CA
416168;-874909;IN
297587;-949671;TX
44962;-896459;WI
428908;-857066;MI
312923;-924702;LA
305061;-904563;LA
340829;-1179722;CA
386318;-1213263;CA
422985;-852296;MI
406266;-753679;PA
183331;-656589;PR
415905;-873473;IN
30666;-976966;TX
29563;-955365;TX
440227;-885619;WI
374336;-1218921;CA
420955;-879826;IL
376032;-1220181;CA
400752;-806951;WV
384362;-788735;VA
391735;-781746;VA
334314;-1126429;AZ
385737;-1212527;CA
428724;-1124647;ID
426645;-831563;MI
416901;-881021;IL
462506;-1191305;WA
321896;-807499;SC
38839;-774389;VA
407656;-825275;OH
420464;-876943;IL
399361;-751073;NJ
40557;-1119784;UT
358212;-906791;AR
290516;-954521;TX
420308;-880838;IL
405082;-784007;PA
345352;-1172109;CA
350753;-924692;AR
392774;-768345;MD
377575;-871172;KY
182319;-660388;PR
424765;-832605;MI
423085;-714368;MA
351817;-848707;TN
416759;-727862;CT
430087;-882464;WI
386473;-773459;VA
426854;-890135;WI
261605;-802241;FL
418744;-713743;RI
180532;-665044;PR
380182;-1218965;CA
340512;-1171712;CA
451089;-934626;MN
32569;-971213;TX
449057;-92923;MN
47436;-1203295;WA
356538;-888354;TN
261006;-804054;FL
298734;-979356;TX
397415;-755416;DE
387954;-905157;MO
394041;-769528;MD
328604;-97218;TX
323423;-1110113;AZ
437403;-877316;WI
381218;-1212932;CA
379024;-1220399;CA
408574;-741282;NJ
365572;-822154;TN
345731;-869905;AL
434173;-881818;WI
39156;-766071;MD
33924;-1182016;CA
312336;-85407;AL
399542;-1050526;CO
40741;-84112;OH
183643;-665611;PR
254665;-804472;FL
26455;-800905;FL
291995;-810982;FL
325224;-936668;LA
281217;-814821;FL
392623;-81542;WV
390834;-771553;MD
33889;-1177714;CA
407675;-740323;NJ
373905;-1221468;CA
476763;-1221169;WA
461461;-122963;WA
435902;-838887;MI
425002;-90707;IA
360643;-1190338;CA
391346;-772131;MD
42118;-88043;IL
36317;-941531;AR
484203;-1223115;WA
356394;-120656;CA
409136;-738291;NY
336273;-966221;TX
388075;-1212489;CA
398118;-769836;PA
342662;-851863;GA
404136;-1118725;UT
376538;-1224196;CA
300109;-902549;LA
183832;-661134;PR
415521;-937806;IA
338577;-1183765;CA
419314;-887481;IL
382423;-1226266;CA
340704;-842738;GA
377221;-892237;IL
262056;-802539;FL
288287;-969849;TX
446272;-1230965;OR
44817;-931638;MN
430674;-737775;NY
445698;-1232779;OR
347807;-922371;AR
433109;-736458;NY
417092;-86869;IN
420256;-936217;IA
390158;-948076;KS
339617;-1175803;CA
446774;-93252;MN
40406;-805671;WV
329155;-965489;TX
179743;-661104;PR
428025;-739275;NY
476017;-1220416;WA
393763;-1048535;CO
26.92;-801128;FL
406668;-741158;NJ
389866;-771188;MD
451696;-932077;MN
335275;-117705;CA
266461;-802699;FL
334499;-1176102;CA
339682;-1182447;CA
417288;-936031;IA
407651;-742117;NJ
361995;-119.34;CA
448488;-934595;MN
400355;-860042;IN
377088;-1220626;CA
269918;-82114;FL
336847;-1173344;CA
648353;-1476533;AK
471198;-1222853;WA
402631;-744917;NJ
411485;-95939;NE
42842;-1063208;WY
377161;-1218963;CA
392704;-764942;MD
291085;-810137;FL
427838;-710871;MA
479214;-970884;ND
25.67;-804482;FL
304515;-976018;TX
420938;-768097;NY
42036;-87.74;IL
27477;-81453;FL
379356;-121719;CA
330492;-117261;CA
339282;-1179515;CA
407839;-732522;NY
440538;-1229811;OR
451755;-933094;MN
340155;-1181108;CA
423889;-712423;MA
339901;-1180888;CA
259008;-801686;FL
412369;-958516;IA
258152;-803565;FL
393939;-845653;OH
475022;-1112996;MT
359685;-77804;NC
359271;-790391;NC
280847;-827481;FL
353293;-974757;OK
447648;-932793;MN
300613;-95383;TX
389497;-773461;VA
326654;-1170983;CA
42226;-832688;MI
262803;-801842;FL
406892;-1118292;UT
424305;-710576;MA
339533;-845422;GA
305728;-978618;TX
340497;-1181326;CA
471628;-1225299;WA
282106;-823238;FL
424786;-834893;MI
287891;-812757;FL
327703;-1170204;CA
416812;-729407;CT
406569;-1119493;UT
430068;-880296;WI
373168;-1220466;CA
386712;-121.75;CA
426493;-832878;MI
415369;-727946;CT
338943;-1183072;CA
425084;-831539;MI
352337;-898195;TN
424925;-828961;MI
379905;-1225221;CA
257723;-80346;FL
396019;-861073;IN
339336;-1180312;CA
262466;-802119;FL
416075;-878619;IL
420345;-879008;IL
424234;-711087;MA
41022;-737547;NY
389549;-767406;MD
40464;-861277;IN
363063;-865997;TN
33.98;-1182167;CA
393944;-76619;MD
387825;-906061;MO
328554;-1169851;CA
35463;-97371;OK
462824;-1192939;WA
274901;-825757;FL
419036;-710943;MA
329069;-1117624;AZ
35406;-808716;NC
341342;-1180373;CA
268466;-801679;FL
477564;-1223426;WA
436453;-1166594;ID
328508;-97.08;TX
338633;-845168;GA
337105;-1179514;CA
41567;-878049;IL
40487;-74445;NJ
398641;-104843;CO
339992;-1178161;CA
257556;-804016;FL
257081;-804078;FL
423164;-832769;MI
345006;-1143113;AZ
395084;-1047753;CO
417139;-877528;IL
390124;-942721;MO
33997;-1179727;CA
341113;-117165;CA
396956;-841494;OH
391511;-1197476;NV
357237;-788743;NC
421764;-725719;MA
391886;-966048;KS
349514;-899786;MS
418433;-877909;IL
338362;-1164642;CA
389609;-948018;KS
338743;-843314;GA
405217;-889884;IL
412739;-729672;CT
336842;-841372;GA
257471;-803523;FL
340336;-1170429;CA
340538;-1173255;CA
420641;-879375;IL
329343;-970742;TX
454237;-1227845;OR
338977;-1181651;CA
390927;-770826;MD
340689;-1180823;CA
41376;-82106;OH
38092;-1225575;CA
449322;-934598;MN
391057;-775544;VA
447457;-932004;MN
45492;-1228725;OR
330016;-801799;SC
385557;-1215505;CA
278589;-827078;FL
424189;-71004;MA
391355;-766956;MD
407452;-740281;NJ
325992;-968633;TX
418561;-881085;IL
282363;-812779;FL
337378;-1163695;CA
425335;-709725;MA
412255;-730625;CT
357662;-1192635;CA
287015;-815316;FL
407857;-740094;NJ
448914;-933602;MN
332454;-1116173;AZ
418872;-877899;IL
363547;-942305;AR
338807;-1178553;CA
428852;-855926;MI
405202;-742724;NJ
474762;-1223394;WA
407241;-735125;NY
330362;-965161;TX
409218;-983586;NE
387996;-903269;MO
390492;-770573;MD
341449;-1178467;CA
470462;-1227933;WA
359687;-865264;TN
347114;-867626;AL
323046;-1108838;AZ
35047;-896987;TN
42734;-711889;MA
42064;-881468;IL
259407;-803102;FL
335792;-1177289;CA
330408;-1120011;AZ
292484;-948913;TX
406154;-744157;NJ
361317;-970742;OK
364063;-97.87;OK
414822;-818008;OH
257037;-802715;FL
401533;-748531;PA
339716;-1178912;CA
425645;-1144613;ID
331858;-969295;TX
354764;-806408;NC
329871;-1170201;CA
390393;-771191;MD
416742;-861666;IN
404432;-869238;IN
341386;-1179124;CA
339418;-843122;GA
338678;-1180686;CA
357311;-779284;NC
417949;-880172;IL
427354;-736751;NY
42.2;-855906;MI
411641;-815207;OH
