Etat;code_etat;year;code_etat_year;1;2;3;4;5;6;7;8;9;10;11;12
Maine;ME;1996;ME-1996;5,13;3,72;2,49;5,53;4,87;3,94;7,48;1,14;5,43;4,82;2,10;6,75
Maine;ME;1997;ME-1997;4,31;2,42;3,64;3,85;3,52;3,14;3,36;4,06;3,17;1,39;4,58;2,67
Maine;ME;1998;ME-1998;5,52;3,94;4,28;3,17;3,62;8,37;3,12;2,70;2,37;6,42;2,76;1,85
Maine;ME;1999;ME-1999;6,04;2,65;6,13;0,65;3,16;2,58;2,83;2,84;9,63;4,59;3,46;2,83
Maine;ME;2000;ME-2000;3,85;3,12;3,95;5,83;4,53;2,74;4,74;2,34;2,27;3,50;3,38;4,56
Maine;ME;2001;ME-2001;1,40;2,87;5,06;1,05;1,79;4,13;3,29;1,22;3,48;1,69;2,60;2,49
Maine;ME;2002;ME-2002;2,87;3,38;3,87;4,79;3,67;4,49;3,16;1,17;4,46;3,38;4,84;3,67
Maine;ME;2003;ME-2003;1,49;2,81;3,62;2,10;3,57;3,01;2,57;3,20;4,85;7,84;4,28;6,14
Maine;ME;2004;ME-2004;0,75;1,66;1,59;3,99;4,38;2,46;4,35;6,23;2,83;2,31;4,40;4,33
Maine;ME;2005;ME-2005;2,64;2,84;4,44;8,14;6,96;3,47;3,18;4,27;3,88;13,18;6,52;5,13
Maine;ME;2006;ME-2006;4,39;2,61;1,18;2,44;6,66;8,28;5,40;3,71;3,06;8,25;5,22;3,18
Maine;ME;2007;ME-2007;2,72;2,04;4,32;7,56;3,15;2,96;3,35;3,60;2,65;5,33;6,39;4,42
Maine;ME;2008;ME-2008;2,98;6,30;4,78;4,53;1,51;5,23;4,70;5,64;7,72;3,67;5,74;5,23
Maine;ME;2009;ME-2009;2,73;2,84;2,68;4,37;4,24;7,56;7,02;4,63;1,65;5,59;5,28;4,89
Maine;ME;2010;ME-2010;3,65;3,62;6,68;2,63;1,94;5,36;3,39;2,65;4,88;6,49;5,52;6,16
Maine;ME;2011;ME-2011;2,21;3,06;5,13;5,48;4,87;3,61;2,94;7,12;3,88;5,64;2,89;3,61
Maine;ME;2012;ME-2012;3,22;1,58;2,02;4,27;5,22;8,02;1,99;4,44;4,79;6,10;1,26;5,63
Maine;ME;2013;ME-2013;1,28;3,42;2,37;2,09;5,55;6,49;4,59;4,25;5,93;1,46;4,27;4,07
Maine;ME;2014;ME-2014;3,63;3,17;4,00;3,30;4,23;4,65;7,06;3,76;1,44;6,33;3,83;6,37
Maine;ME;2015;ME-2015;3,60;2,03;1,68;3,45;2,16;6,19;2,96;3,47;4,77;5,38;2,55;5,32
Michigan;MI;1992;MI-1992;1,53;1,43;2,07;3,23;1,28;2,21;4,86;2,94;4,65;2,53;4,59;2,24
Michigan;MI;1993;MI-1993;2,51;0,85;1,11;3,92;2,66;4,88;2,76;4,04;4,22;2,71;1,98;1,06
Michigan;MI;1994;MI-1994;2,10;1,34;1,48;3,06;1,90;4,21;4,91;4,94;2,47;2,12;3,61;1,01
Michigan;MI;1995;MI-1995;2,23;0,89;1,58;3,22;2,65;2,32;3,35;4,14;2,12;3,84;3,59;1,61
Michigan;MI;1996;MI-1996;1,94;1,53;1,26;3,41;2,87;5,07;3,29;2,19;3,81;3,25;1,90;2,95
Michigan;MI;1997;MI-1997;2,97;2,93;2,15;1,17;3,74;2,43;2,88;3,87;3,28;1,98;1,66;1,11
Michigan;MI;1998;MI-1998;2,92;1,36;3,94;2,37;2,11;2,84;1,92;3,20;2,37;2,91;2,20;1,73
Michigan;MI;1999;MI-1999;3,30;1,36;0,85;3,42;2,92;4,03;4,74;2,46;2,74;1,82;1,15;2,27
Michigan;MI;2000;MI-2000;1,63;1,45;1,49;2,49;5,00;3,97;3,46;2,96;4,05;1,62;2,84;2,54
Michigan;MI;2001;MI-2001;1,15;2,67;0,65;3,09;4,93;3,19;1,87;3,44;4,33;5,64;2,38;1,97
Michigan;MI;2002;MI-2002;1,14;2,11;2,49;3,52;3,88;2,86;3,08;3,49;1,82;2,83;1,55;1,15
Michigan;MI;2003;MI-2003;0,81;1,00;1,89;2,81;4,02;2,22;3,35;2,75;3,21;2,35;4,83;1,92
Michigan;MI;2004;MI-2004;2,04;1,16;3,17;2,01;6,92;3,28;3,29;3,18;0,98;3,65;2,83;2,93
Michigan;MI;2005;MI-2005;3,11;1,83;1,22;1,32;2,01;2,82;3,86;2,65;3,62;1,36;4,24;1,99
Michigan;MI;2006;MI-2006;3,15;1,78;2,28;2,22;4,67;2,53;3,86;3,15;3,41;4,46;2,41;2,92
Michigan;MI;2007;MI-2007;2,24;0,96;2,55;3,09;2,33;2,72;2,04;4,38;2,50;3,55;1,60;2,64
Michigan;MI;2008;MI-2008;3,33;2,69;1,51;3,25;2,32;4,99;3,68;1,71;5,47;2,13;2,22;4,40
Michigan;MI;2009;MI-2009;1,30;2,48;2,48;4,01;2,98;3,65;2,24;4,69;1,88;5,20;1,11;2,31
Michigan;MI;2010;MI-2010;0,89;1,02;0,78;2,26;3,69;5,82;4,08;2,28;4,53;1,97;2,08;1,38
Michigan;MI;2011;MI-2011;1,42;1,62;2,29;5,65;4,32;3,67;3,09;3,24;3,67;3,47;3,32;1,88
Michigan;MI;2012;MI-2012;2,23;1,35;2,71;2,00;3,02;2,92;3,58;2,81;2,49;4,73;0,87;2,56
Michigan;MI;2013;MI-2013;3,44;2,28;1,29;5,92;3,64;3,66;3,27;2,92;1,90;3,93;3,83;2,20
Michigan;MI;2014;MI-2014;2,23;1,60;1,37;3,92;3,61;3,86;3,50;3,49;3,88;4,01;3,46;1,69
Michigan;MI;2015;MI-2015;1,27;0,96;0,84;2,49;4,20;4,17;2,50;3,35;2,98;2,43;3,05;3,69
Minnesota;MN;1992;MN-1992;0,69;0,58;1,53;2,11;1,93;3,97;4,32;3,95;2,96;1,52;1,92;1,00
Minnesota;MN;1993;MN-1993;0,97;0,40;1,17;2,70;4,91;6,81;6,17;5,34;2,24;0,81;1,73;0,73
Minnesota;MN;1994;MN-1994;1,05;0,63;0,53;3,77;1,87;4,55;4,32;3,96;3,40;2,92;1,40;0,40
Minnesota;MN;1995;MN-1995;0,53;0,41;2,57;2,46;3,26;2,64;5,39;4,64;2,88;3,59;0,94;0,89
Minnesota;MN;1996;MN-1996;1,72;0,48;1,13;0,93;3,32;3,74;2,90;2,85;2,47;3,33;3,36;1,32
Minnesota;MN;1997;MN-1997;1,58;0,32;1,30;1,56;2,24;3,97;5,79;3,48;2,34;2,25;0,88;0,29
Minnesota;MN;1998;MN-1998;1,01;1,02;2,10;1,79;3,73;5,47;3,28;3,60;1,45;4,15;1,55;0,48
Minnesota;MN;1999;MN-1999;1,30;0,38;1,20;3,34;4,93;4,45;5,23;3,92;2,70;0,97;0,41;0,33
Minnesota;MN;2000;MN-2000;0,65;1,08;1,15;1,43;4,14;4,94;4,16;3,02;1,31;1,73;3,47;1,04
Minnesota;MN;2001;MN-2001;0,98;1,31;0,66;5,72;3,99;4,20;3,17;2,70;2,61;1,59;2,34;0,52
Minnesota;MN;2002;MN-2002;0,23;0,70;1,39;2,63;2,38;6,16;4,94;5,59;2,54;3,01;0,20;0,36
Minnesota;MN;2003;MN-2003;0,25;0,53;1,03;2,29;3,98;4,83;3,02;1,19;2,80;1,00;0,93;0,70
Minnesota;MN;2004;MN-2004;0,63;0,93;1,67;1,53;6,19;3,34;4,33;2,94;5,65;2,67;0,78;0,61
Minnesota;MN;2005;MN-2005;1,21;0,88;0,94;2,30;3,99;5,57;2,80;3,69;5,47;2,83;2,34;1,13
Minnesota;MN;2006;MN-2006;0,49;0,44;1,74;3,28;2,41;2,93;1,83;4,25;3,51;0,97;0,92;1,41
Minnesota;MN;2007;MN-2007;0,48;1,22;2,41;2,40;3,01;3,35;2,02;5,48;3,83;4,70;0,18;1,18
Minnesota;MN;2008;MN-2008;0,22;0,41;0,91;3,44;3,06;4,77;3,03;2,28;3,03;3,33;1,48;1,43
Minnesota;MN;2009;MN-2009;0,56;0,98;2,32;1,61;1,61;3,48;2,61;4,15;1,47;5,66;0,63;1,75
Minnesota;MN;2010;MN-2010;0,86;0,70;1,05;1,58;3,00;5,83;4,99;4,63;7,23;2,02;1,42;2,02
Minnesota;MN;2011;MN-2011;0,98;0,87;1,51;2,77;4,57;4,22;5,48;2,52;1,03;0,87;0,28;0,56
Minnesota;MN;2012;MN-2012;0,56;1,38;1,54;2,81;6,60;3,90;2,94;2,06;0,60;1,66;0,74;1,18
Minnesota;MN;2013;MN-2013;0,79;1,17;1,79;3,49;4,86;5,79;2,59;1,68;2,34;3,42;0,58;1,20
Minnesota;MN;2014;MN-2014;0,79;0,80;0,83;4,22;3,43;8,71;2,17;4,02;2,33;1,18;0,89;0,76
Minnesota;MN;2015;MN-2015;0,42;0,45;0,60;1,64;5,31;4,00;4,57;3,99;2,66;2,10;2,81;1,98
Missouri;MO;1992;MO-1992;0,99;2,08;2,95;3,53;2,34;2,87;7,29;2,33;4,78;1,44;7,62;3,41
Missouri;MO;1993;MO-1993;3,16;1,94;2,70;4,39;4,98;6,37;9,25;4,25;11,15;2,28;4,27;1,75
Missouri;MO;1994;MO-1994;1,50;2,05;1,94;9,18;2,45;3,72;3,06;3,61;2,48;3,13;6,21;1,93
Missouri;MO;1995;MO-1995;3,05;1,39;1,90;5,09;9,91;5,29;3,97;3,60;2,35;1,77;1,68;1,96
Missouri;MO;1996;MO-1996;2,47;0,55;2,72;4,41;6,94;4,06;4,79;2,87;5,54;2,91;4,99;1,09
Missouri;MO;1997;MO-1997;1,84;4,18;2,97;3,79;5,00;3,96;2,23;4,10;3,16;3,43;2,37;2,46
Missouri;MO;1998;MO-1998;2,41;2,93;5,71;4,14;3,24;7,28;6,29;2,43;4,63;5,70;3,26;1,66
Missouri;MO;1999;MO-1999;3,24;2,24;2,68;5,99;4,65;4,80;1,97;2,15;2,62;1,49;1,13;3,65
Missouri;MO;2000;MO-2000;1,33;2,71;2,52;1,27;4,13;6,97;4,07;2,77;2,87;2,78;2,85;1,44
Missouri;MO;2001;MO-2001;1,99;4,34;1,76;3,00;5,57;5,94;4,91;3,02;3,53;4,40;2,48;2,82
Missouri;MO;2002;MO-2002;2,59;1,39;3,36;4,54;9,44;2,94;3,02;3,75;1,91;3,55;0,82;2,21
Missouri;MO;2003;MO-2003;0,59;2,38;2,25;4,10;4,89;4,77;2,47;3,65;5,22;2,20;3,96;3,25
Missouri;MO;2004;MO-2004;2,12;0,93;4,92;3,27;5,76;3,49;5,61;5,35;1,19;4,68;5,55;1,43
Missouri;MO;2005;MO-2005;4,87;2,35;1,60;3,37;2,20;3,98;2,86;5,54;3,85;1,79;3,00;0,86
Missouri;MO;2006;MO-2006;2,09;0,52;3,77;3,69;3,48;3,13;3,50;4,59;2,83;3,62;3,41;2,93
Missouri;MO;2007;MO-2007;2,78;2,34;2,73;3,75;5,20;4,99;2,23;3,39;2,94;3,98;1,15;3,95
Missouri;MO;2008;MO-2008;1,52;4,39;6,50;6,53;5,44;7,03;6,38;2,49;8,15;2,55;1,60;3,13
Missouri;MO;2009;MO-2009;0,84;1,86;4,00;5,24;5,82;5,77;4,46;4,92;3,62;9,74;2,31;2,99
Missouri;MO;2010;MO-2010;2,05;1,73;3,33;3,97;6,79;5,03;6,82;2,59;7,79;0,77;3,03;0,91
Missouri;MO;2011;MO-2011;1,05;3,44;3,39;7,34;6,23;4,30;2,51;3,83;2,52;1,19;5,67;3,72
Missouri;MO;2012;MO-2012;1,25;2,28;4,11;3,79;2,19;1,92;1,69;2,39;4,78;3,16;1,56;1,70
Missouri;MO;2013;MO-2013;3,24;3,11;3,43;6,23;6,92;4,46;3,00;3,79;2,53;3,59;2,39;2,45
Missouri;MO;2014;MO-2014;1,05;1,27;1,66;5,10;3,14;6,15;2,64;4,51;3,90;6,20;1,68;2,15
Missouri;MO;2015;MO-2015;1,15;1,69;3,13;3,50;7,27;7,56;7,94;3,89;2,24;1,56;7,73;7,54
Mississippi;MS;1992;MS-1992;5,16;4,96;4,78;3,21;1,76;6,79;5,02;7,02;3,25;1,88;7,30;4,95
Mississippi;MS;1993;MS-1993;6,51;3,36;5,31;5,31;5,21;4,39;4,06;4,41;3,37;4,00;4,78;4,40
Mississippi;MS;1994;MS-1994;7,06;5,12;6,58;4,41;4,22;6,32;7,64;2,26;2,97;5,58;3,75;4,70
Mississippi;MS;1995;MS-1995;5,03;3,73;7,45;7,43;5,22;2,98;4,87;3,98;1,71;3,87;4,87;6,15
Mississippi;MS;1996;MS-1996;5,96;2,83;5,85;5,70;2,32;4,78;4,93;4,57;4,56;3,33;4,38;5,16
Mississippi;MS;1997;MS-1997;6,49;7,24;5,48;6,97;7,17;7,47;4,09;3,48;2,63;4,57;4,20;5,16
Mississippi;MS;1998;MS-1998;9,16;5,99;5,73;5,45;2,33;2,34;6,53;3,13;4,67;1,59;3,76;6,42
Mississippi;MS;1999;MS-1999;9,67;2,18;6,64;3,54;3,82;5,15;3,79;1,89;2,53;3,09;2,04;3,76
Mississippi;MS;2000;MS-2000;3,18;1,93;5,11;6,77;2,32;4,50;1,87;1,95;2,64;0,96;9,19;4,19
Mississippi;MS;2001;MS-2001;5,90;5,81;7,59;3,54;3,29;6,59;4,43;5,91;5,01;5,72;6,68;6,03
Mississippi;MS;2002;MS-2002;6,15;3,41;7,40;2,83;4,81;3,16;5,40;4,05;9,77;8,00;4,30;7,09
Mississippi;MS;2003;MS-2003;1,76;8,85;3,48;5,01;5,96;7,93;6,02;4,91;3,99;2,51;5,28;3,37
Mississippi;MS;2004;MS-2004;4,23;8,44;2,97;4,09;7,29;9,68;4,36;4,10;1,57;5,13;8,23;5,90
Mississippi;MS;2005;MS-2005;3,64;5,42;4,09;6,96;3,11;3,44;6,30;6,98;3,24;0,08;2,95;4,38
Mississippi;MS;2006;MS-2006;6,18;6,08;3,70;3,53;3,67;1,78;3,14;3,76;3,98;7,01;3,58;6,16
Mississippi;MS;2007;MS-2007;4,87;2,44;0,87;3,65;2,39;3,15;7,38;2,14;3,83;4,84;2,24;4,05
Mississippi;MS;2008;MS-2008;4,15;5,48;4,34;5,56;6,16;2,50;2,84;8,37;5,88;2,67;3,25;8,25
Mississippi;MS;2009;MS-2009;3,68;3,39;8,23;3,54;8,72;1,61;6,96;3,66;8,00;9,89;2,01;8,84
Mississippi;MS;2010;MS-2010;5,12;4,30;3,88;2,81;6,02;3,12;4,24;4,93;0,86;1,71;5,58;1,62
Mississippi;MS;2011;MS-2011;4,42;2,74;6,79;6,57;2,09;3,33;5,56;2,33;7,94;1,13;4,13;6,10
Mississippi;MS;2012;MS-2012;4,24;5,65;6,73;3,36;3,08;3,39;6,96;8,61;4,23;3,21;2,16;7,18
Mississippi;MS;2013;MS-2013;9,08;7,01;4,02;6,63;6,14;4,11;4,35;3,26;5,25;2,21;5,18;5,45
Mississippi;MS;2014;MS-2014;2,09;6,01;5,50;8,66;5,14;7,07;4,22;3,71;2,57;4,38;3,18;5,69
Mississippi;MS;2015;MS-2015;4,65;4,06;6,40;6,11;6,26;4,05;4,49;3,21;1,54;5,18;7,37;7,23
Montana;MT;1992;MT-1992;0,72;0,47;0,85;2,10;1,45;3,48;2,42;1,19;1,07;1,27;1,12;1,26
Montana;MT;1993;MT-1993;1,05;0,77;1,13;1,97;1,96;3,68;5,54;2,47;1,01;1,36;0,84;0,76
Montana;MT;1994;MT-1994;1,03;0,99;0,66;1,95;1,95;2,40;1,27;0,43;0,64;2,54;1,27;0,91
Montana;MT;1995;MT-1995;0,95;0,80;1,61;1,88;2,80;3,59;2,53;1,35;1,33;1,82;2,00;1,21
Montana;MT;1996;MT-1996;1,81;1,36;1,40;1,64;3,54;1,78;0,81;0,57;1,78;1,06;1,92;2,81
Montana;MT;1997;MT-1997;1,59;0,86;1,48;1,79;2,43;3,08;2,88;1,63;0,99;1,53;0,76;0,55
Montana;MT;1998;MT-1998;1,38;0,62;1,42;1,32;2,14;3,98;1,93;1,20;1,01;1,58;1,88;1,62
Montana;MT;1999;MT-1999;1,41;1,35;0,74;1,69;2,31;2,56;1,04;1,89;1,05;0,94;1,12;0,99
Montana;MT;2000;MT-2000;1,14;1,24;0,95;1,25;2,08;2,05;1,60;0,38;1,52;1,38;1,01;0,86
Montana;MT;2001;MT-2001;0,51;0,80;0,84;1,71;0,85;3,86;2,49;0,22;0,96;1,29;0,69;0,79
Montana;MT;2002;MT-2002;1,20;0,92;1,49;1,28;2,06;3,34;1,39;1,87;1,34;0,68;0,65;0,76
Montana;MT;2003;MT-2003;1,39;1,24;2,09;2,06;2,33;2,19;0,51;0,72;1,05;1,28;1,13;1,38
Montana;MT;2004;MT-2004;1,23;0,72;0,64;1,17;2,99;2,05;1,42;1,96;1,51;1,47;0,56;0,91
Montana;MT;2005;MT-2005;0,79;0,26;1,44;1,91;2,85;4,77;0,70;1,24;1,26;1,89;1,67;1,23
Montana;MT;2006;MT-2006;1,32;0,86;1,24;2,74;1,76;2,42;0,62;0,84;1,89;1,96;1,66;0,86
Montana;MT;2007;MT-2007;0,68;1,42;1,11;1,76;3,98;2,06;0,89;0,76;1,48;1,59;0,96;1,14
Montana;MT;2008;MT-2008;1,21;1,06;0,93;0,99;4,00;2,78;1,02;1,19;1,63;1,31;1,39;1,80
Montana;MT;2009;MT-2009;1,31;0,74;1,73;1,92;1,33;2,21;2,05;1,90;0,57;2,14;0,55;1,01
Montana;MT;2010;MT-2010;1,07;0,49;0,75;2,00;3,88;3,67;1,49;2,21;1,82;0,92;1,90;1,59
Montana;MT;2011;MT-2011;1,67;1,36;1,59;2,51;5,61;3,35;1,37;0,79;0,47;1,98;1,06;0,80
Montana;MT;2012;MT-2012;1,21;0,91;1,56;1,98;2,37;1,94;1,30;0,57;0,15;1,79;1,43;1,29
Montana;MT;2013;MT-2013;1,02;0,53;0,88;1,45;4,10;3,07;1,19;1,45;2,55;1,19;0,86;1,42
Montana;MT;2014;MT-2014;1,21;1,77;2,26;1,51;1,89;3,20;0,72;3,67;1,17;0,95;1,96;1,29
Montana;MT;2015;MT-2015;1,16;0,88;0,94;1,08;2,44;1,79;1,83;1,01;1,32;1,38;1,32;1,59
North_Carolina;NC;1992;NC-1992;3,86;3,06;3,80;3,40;4,47;5,82;3,56;7,75;3,21;4,19;6,42;3,67
North_Carolina;NC;1993;NC-1993;5,83;2,86;6,86;4,28;3,11;2,50;3,56;3,00;3,74;3,51;2,99;3,90
North_Carolina;NC;1994;NC-1994;5,12;3,66;7,17;2,32;2,73;5,26;6,01;5,73;3,45;3,79;3,06;2,32
North_Carolina;NC;1995;NC-1995;5,47;4,96;3,33;1,13;4,06;9,36;4,16;5,23;3,33;7,07;4,24;1,91
North_Carolina;NC;1996;NC-1996;5,53;2,90;4,60;3,30;3,72;4,09;6,49;5,97;8,56;3,77;3,69;4,09
North_Carolina;NC;1997;NC-1997;3,63;3,80;4,49;4,95;2,20;4,01;5,66;1,86;4,86;3,16;3,62;3,87
North_Carolina;NC;1998;NC-1998;7,77;6,49;5,09;5,67;4,53;3,71;3,95;4,72;3,12;1,86;2,16;4,64
North_Carolina;NC;1999;NC-1999;5,64;2,66;3,10;3,70;2,73;3,86;4,43;4,12;12,26;4,72;2,49;1,93
North_Carolina;NC;2000;NC-2000;4,83;2,05;3,33;5,10;2,81;4,53;5,00;5,08;6,08;0,07;3,14;1,91
North_Carolina;NC;2001;NC-2001;2,14;2,76;5,18;1,70;3,28;5,80;5,36;4,04;3,02;1,21;1,13;2,10
North_Carolina;NC;2002;NC-2002;5,02;1,60;4,77;1,93;2,86;2,95;4,43;4,86;4,79;5,58;4,63;4,73
North_Carolina;NC;2003;NC-2003;2,29;5,28;5,89;6,50;7,57;5,55;7,52;6,36;5,75;3,55;2,98;4,19
North_Carolina;NC;2004;NC-2004;1,58;3,79;2,04;3,05;3,96;5,46;5,28;7,29;8,29;2,05;4,09;2,88
North_Carolina;NC;2005;NC-2005;2,64;2,78;4,08;3,40;3,51;5,23;6,43;4,18;1,83;5,61;3,76;4,42
North_Carolina;NC;2006;NC-2006;3,39;1,80;1,46;3,70;3,18;7,57;4,53;4,87;6,57;4,09;6,57;3,23
North_Carolina;NC;2007;NC-2007;3,70;2,22;3,03;3,21;1,76;3,88;3,55;2,04;2,05;4,27;0,98;4,12
North_Carolina;NC;2008;NC-2008;1,84;3,98;3,93;4,90;2,90;2,30;4,99;5,87;5,22;1,93;3,44;4,06
North_Carolina;NC;2009;NC-2009;2,93;1,69;5,42;2,60;5,95;4,54;4,16;5,08;4,64;3,08;6,93;7,22
North_Carolina;NC;2010;NC-2010;5,15;3,76;4,15;1,68;4,71;3,48;4,02;4,55;7,56;2,86;1,65;2,99
North_Carolina;NC;2011;NC-2011;2,03;2,48;5,49;3,74;3,20;3,24;4,44;6,70;5,52;2,92;4,42;2,66
North_Carolina;NC;2012;NC-2012;2,96;2,21;4,14;3,31;6,18;2,87;6,05;5,82;4,50;3,46;0,88;4,42
North_Carolina;NC;2013;NC-2013;5,07;4,07;2,80;4,74;4,16;8,64;8,71;4,78;2,80;2,37;3,58;5,76
North_Carolina;NC;2014;NC-2014;3,29;3,11;4,53;4,97;3,64;4,14;5,17;5,11;5,36;3,03;3,81;3,70
North_Carolina;NC;2015;NC-2015;3,87;3,40;3,40;4,53;2,53;5,06;4,46;3,87;5,38;6,88;7,23;7,46
North_Dakota;ND;1992;ND-1992;0,39;0,30;0,74;0,97;1,76;2,94;2,54;2,03;1,41;0,30;1,09;0,48
North_Dakota;ND;1993;ND-1993;0,48;0,21;0,54;1,06;2,76;5,32;7,89;2,49;0,46;0,23;1,03;0,64
North_Dakota;ND;1994;ND-1994;0,75;0,50;0,41;1,13;1,88;3,70;3,10;1,58;2,13;4,16;1,07;0,30
North_Dakota;ND;1995;ND-1995;0,48;0,37;1,45;0,99;3,19;2,24;4,59;2,20;1,20;1,78;0,82;0,57
North_Dakota;ND;1996;ND-1996;0,86;0,47;0,97;0,56;2,55;2,80;3,23;1,17;2,64;1,22;1,45;0,88
North_Dakota;ND;1997;ND-1997;0,95;0,30;0,81;2,16;0,84;2,48;4,34;1,47;1,19;1,76;0,35;0,14
North_Dakota;ND;1998;ND-1998;0,42;1,58;0,43;1,01;2,14;4,19;2,09;2,99;1,00;3,99;1,23;0,29
North_Dakota;ND;1999;ND-1999;0,91;0,38;0,54;1,25;5,15;3,05;2,83;3,38;2,51;0,33;0,05;0,23
North_Dakota;ND;2000;ND-2000;0,26;1,05;0,76;1,29;2,35;4,18;3,24;2,56;1,41;1,65;2,34;0,46
North_Dakota;ND;2001;ND-2001;0,23;0,39;0,16;1,72;1,96;4,16;4,68;1,02;1,16;1,01;0,25;0,33
North_Dakota;ND;2002;ND-2002;0,31;0,13;0,56;1,28;1,27;3,40;3,16;3,08;1,09;0,87;0,13;0,63
North_Dakota;ND;2003;ND-2003;0,32;0,20;0,81;1,10;4,10;3,34;1,89;1,22;1,86;0,63;0,47;0,62
North_Dakota;ND;2004;ND-2004;0,75;0,34;1,58;0,72;4,00;2,20;2,57;2,07;2,66;1,78;0,12;0,47
North_Dakota;ND;2005;ND-2005;0,61;0,13;0,52;0,60;3,45;7,00;2,35;2,30;0,86;1,52;1,15;0,65
North_Dakota;ND;2006;ND-2006;0,29;0,34;0,90;1,56;1,74;1,62;1,14;2,53;2,11;1,03;0,17;0,69
North_Dakota;ND;2007;ND-2007;0,13;0,63;1,59;1,07;5,32;3,76;1,99;2,04;1,31;0,96;0,17;0,40
North_Dakota;ND;2008;ND-2008;0,09;0,42;0,37;0,69;1,63;4,14;2,44;2,25;2,74;2,57;1,45;1,26
North_Dakota;ND;2009;ND-2009;0,62;1,03;1,65;1,11;1,77;3,00;2,20;1,96;1,83;2,80;0,08;1,10
North_Dakota;ND;2010;ND-2010;0,80;0,57;0,79;1,59;4,07;3,57;2,75;2,38;4,07;1,12;0,61;1,25
North_Dakota;ND;2011;ND-2011;0,97;0,33;1,06;1,86;3,86;3,95;3,87;2,59;1,47;1,05;0,16;0,32
North_Dakota;ND;2012;ND-2012;0,33;0,52;0,52;2,06;2,02;2,58;2,23;1,56;0,21;1,99;0,67;0,43
North_Dakota;ND;2013;ND-2013;0,35;0,52;0,96;1,08;5,42;3,63;2,15;1,56;2,80;3,56;0,20;0,88
North_Dakota;ND;2014;ND-2014;0,42;0,18;0,43;2,14;2,35;4,85;1,59;4,41;1,19;0,52;0,46;0,17
North_Dakota;ND;2015;ND-2015;0,46;0,40;0,41;0,59;4,13;3,61;2,73;1,59;1,51;1,31;0,52;0,58
Nebraska;NE;1992;NE-1992;1,13;0,97;2,79;0,98;2,01;3,99;6,12;3,86;1,98;2,20;1,25;0,68
Nebraska;NE;1993;NE-1993;0,97;1,21;1,36;2,67;3,87;5,52;9,01;4,04;2,76;1,65;0,99;0,47
Nebraska;NE;1994;NE-1994;0,66;0,71;0,12;2,24;1,39;4,11;5,36;2,28;2,13;2,15;1,42;0,93
Nebraska;NE;1995;NE-1995;0,48;0,35;2,08;3,17;7,03;2,81;2,19;2,43;2,73;1,75;0,53;0,21
Nebraska;NE;1996;NE-1996;0,85;0,03;0,72;1,58;6,55;3,24;3,46;4,12;3,52;0,75;2,30;0,24
Nebraska;NE;1997;NE-1997;0,24;0,83;0,33;2,37;2,85;3,42;2,65;2,88;3,03;3,24;0,77;0,56
Nebraska;NE;1998;NE-1998;0,37;0,66;2,35;2,65;2,99;5,03;4,35;2,92;1,00;2,80;2,22;0,21
Nebraska;NE;1999;NE-1999;0,39;0,61;0,92;4,48;4,17;5,63;2,38;3,35;1,41;0,13;0,46;0,33
Nebraska;NE;2000;NE-2000;0,26;1,10;1,58;1,63;2,64;3,12;3,78;1,33;1,44;2,39;1,56;0,48
Nebraska;NE;2001;NE-2001;1,06;1,15;0,81;3,63;5,32;2,24;3,77;2,33;3,10;1,23;1,72;0,15
Nebraska;NE;2002;NE-2002;0,29;0,34;0,84;1,67;2,90;1,64;1,23;3,84;1,37;3,06;0,18;0,07
Nebraska;NE;2003;NE-2003;0,38;0,79;1,13;3,37;3,51;4,32;1,51;1,48;2,69;0,85;1,08;0,37
Nebraska;NE;2004;NE-2004;0,65;0,81;2,38;1,76;3,78;2,94;4,30;1,46;3,46;1,07;1,71;0,12
Nebraska;NE;2005;NE-2005;0,61;1,03;1,47;3,18;3,33;5,17;2,14;3,12;1,13;1,62;1,14;0,45
Nebraska;NE;2006;NE-2006;0,35;0,20;2,28;2,36;1,36;3,14;1,99;4,38;3,97;1,16;0,27;2,20
Nebraska;NE;2007;NE-2007;0,66;1,01;2,40;4,05;5,50;2,88;2,67;5,08;2,10;3,63;0,05;1,58
Nebraska;NE;2008;NE-2008;0,21;0,43;0,88;3,16;6,27;4,51;3,29;2,13;2,87;4,99;0,87;0,65
Nebraska;NE;2009;NE-2009;0,40;0,67;0,64;2,60;2,18;5,55;2,92;3,85;1,62;3,94;0,36;1,36
Nebraska;NE;2010;NE-2010;0,46;0,74;1,82;2,89;3,12;7,92;4,21;3,03;2,36;0,80;0,78;0,34
Nebraska;NE;2011;NE-2011;0,99;0,60;0,85;2,98;5,56;3,97;3,73;3,96;0,82;1,82;0,56;0,76
Nebraska;NE;2012;NE-2012;0,15;1,47;0,69;3,20;2,46;1,92;0,93;1,23;0,57;1,07;0,32;0,87
Nebraska;NE;2013;NE-2013;0,34;0,82;1,07;3,10;5,25;2,53;1,93;3,01;2,36;3,08;0,86;0,22
Nebraska;NE;2014;NE-2014;0,21;0,61;0,43;2,20;2,56;7,87;1,76;5,16;2,68;1,60;0,29;1,14
Nebraska;NE;2015;NE-2015;0,21;0,72;0,32;2,73;5,55;5,14;3,54;3,16;2,94;1,30;2,19;1,93
